N,node size,build horizontal(s),build vertical(s),seq search(s),binary search(s), simd search(s)
134217728,8,0.203127,0.180593,1.77814,1.95951,2.37092,
134217728,16,0.164243,0.159055,1.92234,1.77757,2.34356,
134217728,24,0.628264,0.152064,2.19953,1.68692,2.5249,
134217728,32,0.197701,0.147583,2.43031,1.7126,2.97503,
134217728,40,0.857989,0.146252,2.80558,1.65866,3.18774,
134217728,48,0.603999,0.142639,2.86588,1.59811,3.4371,
134217728,56,0.617178,0.14489,3.02672,1.60903,3.71186,
134217728,64,0.139403,0.143046,3.20775,1.62732,4.06107,
134217728,72,0.656254,0.14559,3.56501,1.61076,4.37238,
134217728,80,0.690508,0.15174,3.85836,1.6366,4.64374,
134217728,88,0.737388,0.150428,4.19561,1.58393,4.91841,
134217728,96,0.788662,0.146351,4.42188,1.61019,5.04943,
134217728,104,0.871016,0.145306,4.63682,1.5782,5.39111,
134217728,112,0.593863,0.141162,4.71355,1.52947,5.52887,
134217728,120,0.599362,0.141034,4.92765,1.55306,5.84094,
134217728,128,0.100858,0.138797,4.84078,1.55549,5.99241,
134217728,136,0.595012,0.141148,4.88398,1.54684,6.26422,
134217728,144,0.596585,0.139206,5.0014,1.5434,6.55342,
134217728,152,0.598285,0.140347,5.11497,1.54073,6.96805,
134217728,160,0.599113,0.142131,5.24063,1.54427,7.21107,
134217728,168,0.60051,0.140362,5.43754,1.55066,7.47291,
134217728,176,0.601039,0.140259,5.57344,1.57416,7.73675,
134217728,184,0.601921,0.139885,5.8211,1.55822,8.08617,
134217728,192,0.607762,0.142691,5.99262,1.57227,8.31168,
134217728,200,0.606985,0.142521,6.13944,1.59524,8.5613,
134217728,208,0.611953,0.144367,6.38946,1.59977,8.85219,
134217728,216,0.613255,0.141146,6.59135,1.59974,9.18153,
134217728,224,0.625966,0.142652,6.7654,1.62612,9.50405,
134217728,232,0.619592,0.144736,7.07315,1.62336,9.80106,
134217728,240,0.620725,0.143655,7.24519,1.62904,10.0217,
134217728,248,0.625415,0.144531,7.36034,1.63326,10.2391,
134217728,256,0.137013,0.142498,7.59975,1.6511,10.491,
134217728,264,0.63123,0.145684,7.7582,1.66236,10.7287,
134217728,272,0.638802,0.146014,8.06115,1.65548,11.0648,
134217728,280,0.640055,0.146539,8.28979,1.65076,11.4116,
134217728,288,0.645402,0.144776,8.47736,1.64158,11.5448,
134217728,296,0.648825,0.145637,8.73851,1.64287,11.9365,
134217728,304,0.657606,0.143089,8.95876,1.64017,12.2186,
134217728,312,0.671759,0.146534,9.0943,1.65482,12.5007,
134217728,320,0.66317,0.145191,9.27911,1.65054,12.9474,
134217728,328,0.67449,0.143076,9.56506,1.67309,13.1363,
134217728,336,0.685983,0.14482,9.79047,1.67128,13.2576,
134217728,344,0.685168,0.142764,10.1522,1.6584,13.7061,
134217728,352,0.691859,0.147795,10.3449,1.6668,13.9689,
134217728,360,0.695332,0.157201,10.5937,1.67377,14.053,
134217728,368,0.710197,0.144005,10.9108,1.65173,14.5427,
134217728,376,0.714057,0.144604,11.1375,1.64704,14.2885,
134217728,384,0.718735,0.162988,11.3623,1.64635,14.531,
134217728,392,0.72785,0.147164,11.7041,1.63927,14.6115,
134217728,400,0.738679,0.144859,11.382,1.63192,14.79,
134217728,408,0.748594,0.14925,12.2621,1.64135,15.2878,
134217728,416,0.759373,0.146336,12.541,1.63342,15.6078,
134217728,424,0.765779,0.145221,11.8918,1.6244,15.771,
134217728,432,0.777013,0.145273,12.8571,1.64816,15.4155,
134217728,440,0.787392,0.155344,12.6245,1.62892,15.5293,
134217728,448,0.796332,0.147665,13.0508,1.6404,15.7535,
134217728,456,0.812496,0.146534,13.1299,1.63763,15.6505,
134217728,464,0.813014,0.144214,13.5179,1.64552,16.0541,
134217728,472,0.830793,0.146585,13.3433,1.64943,16.369,
134217728,480,0.843686,0.151473,13.4064,1.63901,16.5803,
134217728,488,0.850763,0.147195,13.4941,1.63672,16.933,
134217728,496,0.867542,0.165232,13.61,1.60087,16.6935,
134217728,504,0.88206,0.147143,14.2411,1.55297,16.9631,
134217728,512,0.0993012,0.137876,14.6368,1.54328,17.378,
