N,node size,build horizontal(s),build vertical(s),seq search(s),binary search(s), simd search(s)
134217728,8,0.233502,0.245067,2.2777,2.41486,3.51962,
134217728,16,0.188459,0.209183,2.35779,2.18543,3.20615,
134217728,24,0.647808,0.197097,2.63508,2.05112,3.17687,
134217728,32,0.222518,0.204349,2.7783,2.13662,3.5871,
134217728,40,0.870206,0.206825,3.61397,2.01958,3.80314,
134217728,48,0.634068,0.18883,3.42842,1.95388,4.00319,
134217728,56,0.650174,0.190844,3.5584,2.00527,4.36258,
134217728,64,0.160988,0.1921,3.74401,2.03781,4.62241,
134217728,72,0.687655,0.192342,4.02978,2.048,4.96623,
134217728,80,0.70713,0.196581,4.33212,2.04863,5.34189,
134217728,88,0.750737,0.199831,4.87073,2.04827,5.97487,
134217728,96,0.802498,0.198716,5.29273,2.04439,5.8772,
134217728,104,0.870027,0.20677,5.69012,1.92883,6.22613,
134217728,112,0.621693,0.184245,5.73835,1.89597,6.44356,
134217728,120,0.624045,0.184289,5.73651,1.91096,6.65259,
134217728,128,0.129021,0.186311,5.70191,1.9454,6.82474,
134217728,136,0.628355,0.185983,5.75104,1.93633,7.04463,
134217728,144,0.625344,0.187693,5.81144,2.27351,7.27675,
134217728,152,0.635045,0.196129,5.84091,1.93949,7.54108,
134217728,160,0.630083,0.187127,5.83268,1.95187,7.90452,
134217728,168,0.629482,0.186835,5.92035,1.95205,8.29629,
134217728,176,0.629595,0.187588,6.05971,1.95822,8.64894,
134217728,184,0.631006,0.188722,6.23513,1.96584,9.04174,
134217728,192,0.63745,0.187714,6.40227,1.98542,9.33845,
134217728,200,0.639714,0.189853,6.56687,2.01465,9.70241,
134217728,208,0.640459,0.189076,6.77209,2.02141,9.96034,
134217728,216,0.637134,0.189296,6.96105,2.04646,10.2665,
134217728,224,0.644747,0.188015,7.058,2.06878,10.6043,
134217728,232,0.647577,0.193204,7.39715,2.08864,10.9751,
134217728,240,0.647475,0.189226,7.46854,2.09493,11.3431,
134217728,248,0.648859,0.193173,7.63418,2.11168,11.4588,
134217728,256,0.157735,0.186984,7.78957,2.12204,11.9696,
134217728,264,0.657141,0.192661,7.98952,2.11826,12.1162,
134217728,272,0.664911,0.192847,8.43746,2.12153,12.5833,
134217728,280,0.665377,0.192005,8.67239,2.1203,12.9528,
134217728,288,0.668556,0.188846,8.67561,2.11301,13.1157,
134217728,296,0.675126,0.194188,9.00177,2.11794,13.5675,
134217728,304,0.679982,0.189122,9.05268,2.12059,13.5445,
134217728,312,0.683849,0.188284,9.04866,2.1325,13.9685,
134217728,320,0.68804,0.193332,9.3233,2.13206,14.3159,
134217728,328,0.696376,0.18898,9.56418,2.12557,14.8297,
134217728,336,0.699132,0.193971,9.94335,2.12538,14.8305,
134217728,344,0.707382,0.191815,10.334,2.1239,15.2232,
134217728,352,0.709009,0.189359,10.7013,2.1275,15.4316,
134217728,360,0.71252,0.192119,11.0528,2.13502,15.7922,
134217728,368,0.729453,0.18963,11.4142,2.15357,16.2117,
134217728,376,0.728289,0.191672,11.7647,2.13872,16.6175,
134217728,384,0.735722,0.194063,12.0763,2.14427,17.091,
134217728,392,0.741764,0.192452,12.4709,2.15645,17.5945,
134217728,400,0.7522,0.192535,12.7925,2.16744,18.2379,
134217728,408,0.759036,0.194263,13.1125,2.22267,18.4668,
134217728,416,0.770476,0.197321,13.412,2.15139,17.89,
134217728,424,0.782012,0.193754,13.7651,2.15385,17.3608,
134217728,432,0.789133,0.193759,14.0564,2.15722,17.2691,
134217728,440,0.797063,0.195263,14.3851,2.16768,17.6048,
134217728,448,0.806468,0.190562,14.6934,2.1705,18.0046,
134217728,456,0.818148,0.194819,14.984,2.17643,18.0508,
134217728,464,0.82799,0.195565,15.3009,2.18391,18.4326,
134217728,472,0.841982,0.19608,15.6126,2.13558,18.8329,
134217728,480,0.845318,0.196511,15.9175,2.08833,19.1282,
134217728,488,0.854818,0.196172,16.2084,2.03895,19.3812,
134217728,496,0.872019,0.195702,16.5301,1.98723,19.7503,
134217728,504,0.885598,0.202922,16.7972,1.94054,20.0625,
134217728,512,0.127181,0.17655,17.0694,1.92587,20.8945,
