N,node size,build horizontal(s),build vertical(s),seq search(s),binary search(s), simd search(s)
67108864,8,0.165692,0.113856,1.12882,1.18652,1.75416,
67108864,16,0.126335,0.10942,1.16709,1.09364,1.60074,
67108864,24,0.344025,0.102983,1.23916,1.02837,1.55329,
67108864,32,0.159671,0.101882,1.44298,1.04369,1.74399,
67108864,40,0.32155,0.0989495,1.56817,0.952132,1.80546,
67108864,48,0.330086,0.099056,1.61126,0.977368,1.93204,
67108864,56,0.339275,0.101349,1.73887,1.0021,2.10047,
67108864,64,0.104807,0.102198,1.85113,1.02488,2.27963,
67108864,72,0.375082,0.0993659,2.11201,1.01429,2.52195,
67108864,80,0.40539,0.102348,2.33414,1.00635,2.55351,
67108864,88,0.443512,0.104436,2.55034,0.910726,2.72282,
67108864,96,0.314435,0.0949813,2.54792,0.915149,2.81285,
67108864,104,0.317766,0.0944383,2.50818,0.922852,2.87811,
67108864,112,0.322805,0.0943001,2.53631,0.93879,3.01703,
67108864,120,0.318131,0.103276,2.54653,0.955675,3.14319,
67108864,128,0.0714574,0.0941763,2.55943,0.966535,3.26924,
67108864,136,0.32112,0.0951071,2.55553,0.975142,3.39859,
67108864,144,0.320589,0.0947916,2.62836,0.967233,3.54794,
67108864,152,0.321668,0.0943392,2.70876,0.963457,3.73642,
67108864,160,0.324988,0.096769,2.75971,0.975518,3.9854,
67108864,168,0.325799,0.102244,2.88694,0.980606,4.16444,
67108864,176,0.323093,0.0964419,2.93317,0.974518,4.32155,
67108864,184,0.328514,0.0964323,3.11211,0.979171,4.4799,
67108864,192,0.33111,0.0995807,3.24002,1.003,4.70779,
67108864,200,0.330404,0.0967616,3.23153,1.01006,4.76873,
67108864,208,0.333129,0.0974033,3.30069,1.01363,4.94313,
67108864,216,0.335339,0.0981093,3.49692,1.02636,5.16815,
67108864,224,0.338167,0.0967726,3.61961,1.03935,5.29451,
67108864,232,0.341593,0.101483,3.75406,1.04355,5.51937,
67108864,240,0.348472,0.100912,3.72607,1.04596,5.52541,
67108864,248,0.348017,0.113634,3.76101,1.0605,5.68978,
67108864,256,0.103596,0.100031,3.87198,1.07636,6.04402,
67108864,264,0.353238,0.0986019,4.02688,1.07521,5.99131,
67108864,272,0.357585,0.0971543,4.22891,1.06842,6.12458,
67108864,280,0.359335,0.0968282,4.40271,1.06083,6.23292,
67108864,288,0.362217,0.100395,4.58353,1.06174,6.46815,
67108864,296,0.368861,0.0974424,4.75464,1.05978,6.76595,
67108864,304,0.374671,0.102071,4.93389,1.06904,6.99932,
67108864,312,0.377266,0.103201,5.09749,1.05489,7.28686,
67108864,320,0.379008,0.0978118,5.28077,1.05458,7.58002,
67108864,328,0.393227,0.100521,5.422,1.03916,7.45032,
67108864,336,0.395157,0.100888,5.59367,1.03808,7.11986,
67108864,344,0.400377,0.100467,5.7515,1.04517,7.03842,
67108864,352,0.402836,0.100785,5.89474,1.05404,7.20633,
67108864,360,0.41113,0.0984129,6.0408,1.05312,7.33674,
67108864,368,0.417504,0.0990763,6.22861,1.04856,7.48425,
67108864,376,0.430052,0.103468,6.36929,1.02245,7.69503,
67108864,384,0.440533,0.10413,6.52354,0.988686,7.81252,
67108864,392,0.439059,0.104521,6.66669,0.964009,7.94672,
67108864,400,0.444503,0.103921,6.82815,0.934179,8.14648,
67108864,408,0.315273,0.0912798,6.90648,0.921897,8.23688,
67108864,416,0.314703,0.100733,6.87392,0.932663,8.28249,
67108864,424,0.312355,0.0918314,6.81853,0.94021,8.33259,
67108864,432,0.315944,0.0910292,6.7809,0.935068,8.40179,
67108864,440,0.314097,0.0911062,6.76189,0.931691,8.42453,
67108864,448,0.318228,0.0928996,6.7462,0.934512,8.53842,
67108864,456,0.314126,0.0918162,6.71583,0.940203,8.54873,
67108864,464,0.314692,0.0911417,6.70328,0.940931,8.66748,
67108864,472,0.314428,0.0925301,6.69261,0.940917,8.69015,
67108864,480,0.313045,0.0913853,6.68223,0.943928,8.7574,
67108864,488,0.313983,0.09203,6.67757,0.943476,8.81689,
67108864,496,0.313344,0.0925497,6.68956,0.957592,8.94985,
67108864,504,0.317421,0.0920436,6.70418,0.95138,8.96379,
67108864,512,0.0675854,0.0887783,6.71437,0.959882,9.31901,
