N,node size,build horizontal(s),build vertical(s),seq search(s),binary search(s), simd search(s)
33554432,8,0.0493328,0.0967204,1.0329,1.11547,
33554432,16,0.0900758,0.0849708,1.06598,1.04772,1.21017,
33554432,24,0.121457,0.0875129,1.12468,1.02373,
33554432,32,0.0416108,0.0826913,1.31642,0.95387,1.0863,
33554432,40,0.106998,0.0857155,1.36438,0.960041,
33554432,48,0.110013,0.0824661,1.49826,0.968689,1.27151,
33554432,56,0.126037,0.0814646,1.63284,0.975835,
33554432,64,0.0732278,0.0831778,1.77845,0.991625,1.3592,
33554432,72,0.155029,0.0827249,2.10706,0.90392,
33554432,80,0.108859,0.0802865,2.18528,0.883109,1.39804,
33554432,88,0.10855,0.080448,2.14922,0.893132,
33554432,96,0.109014,0.0795961,2.13852,0.90393,1.55038,
33554432,104,0.108695,0.0792007,2.17791,0.909954,
33554432,112,0.100955,0.0785115,2.29768,0.929109,1.71421,
33554432,120,0.109019,0.0779477,2.33298,0.940821,
33554432,128,0.0400131,0.0801206,2.42615,0.95765,1.86283,
33554432,136,0.103882,0.0770957,2.52157,0.951631,
33554432,144,0.105028,0.0788525,2.65188,0.948152,1.9917,
33554432,152,0.109417,0.0803653,2.70794,0.948639,
33554432,160,0.115984,0.080243,2.80921,0.954199,2.13998,
33554432,168,0.11632,0.0802805,2.98468,0.964985,
33554432,176,0.11579,0.0810031,3.0139,0.966009,2.28759,
33554432,184,0.118777,0.0856459,3.13545,0.973755,
33554432,192,0.113733,0.0815527,3.26467,0.978227,2.44312,
33554432,200,0.125712,0.0822521,3.3354,0.985057,
33554432,208,0.113245,0.0861636,3.42837,0.995969,2.60641,
33554432,216,0.117799,0.0856468,3.58362,0.998303,
33554432,224,0.120143,0.0812691,3.85214,1.00939,2.72011,
33554432,232,0.129064,0.0847658,3.80497,1.01137,
33554432,240,0.125555,0.0811507,3.83886,1.01605,2.91708,
33554432,248,0.129927,0.0810334,3.94511,1.02072,
33554432,256,0.0667245,0.0783537,4.13499,1.03496,3.11261,
33554432,264,0.130105,0.0794716,4.35548,1.02203,
33554432,272,0.136532,0.0797002,4.58263,1.0011,3.03059,
33554432,280,0.143056,0.0803353,4.79422,0.982806,
33554432,288,0.152602,0.0807232,4.99364,0.964946,3.0342,
33554432,296,0.143384,0.085429,5.20872,0.957036,
33554432,304,0.149162,0.0837497,5.39318,0.939134,3.23296,
33554432,312,0.149892,0.0857925,5.58969,0.927066,
33554432,320,0.152006,0.0811856,5.77786,0.914638,3.46071,
33554432,328,0.105187,0.0767622,5.79644,0.908569,
33554432,336,0.102714,0.0746756,5.76237,0.905897,3.53197,
33554432,344,0.0974404,0.0762607,5.74432,0.910496,
33554432,352,0.107023,0.0806236,5.73649,0.90861,3.6228,
33554432,360,0.105331,0.0772846,5.71476,0.912643,
33554432,368,0.102915,0.0771537,5.71101,0.912265,3.72559,
33554432,376,0.0976414,0.0763716,5.72854,0.915184,
33554432,384,0.0954712,0.0761219,5.73072,0.919778,3.81367,
33554432,392,0.0928497,0.0758196,5.72832,0.921224,
33554432,400,0.107132,0.0775567,5.74589,0.9242,3.89348,
33554432,408,0.105281,0.0762864,5.75802,0.929431,
33554432,416,0.106448,0.0824061,5.79933,0.93525,3.98977,
33554432,424,0.0978885,0.0761387,5.80922,0.933322,
33554432,432,0.10432,0.0768645,5.84244,0.935416,4.06389,
33554432,440,0.0972015,0.0764634,5.864,0.936644,
33554432,448,0.107681,0.0804162,5.89649,0.940615,4.15169,
33554432,456,0.104723,0.0758951,5.93562,0.946585,
33554432,464,0.0978927,0.0765262,5.97521,1.06562,4.24197,
33554432,472,0.0970939,0.0762777,6.01644,0.956434,
33554432,480,0.104745,0.075697,6.03924,0.95574,4.33026,
33554432,488,0.0975722,0.0775047,6.09349,0.961477,
33554432,496,0.0983542,0.0756954,6.1338,0.966309,4.42458,
33554432,504,0.0967589,0.0751752,6.1701,0.969322,
33554432,512,0.0355301,0.0749575,6.23116,0.973727,4.56874,
