N,node size,build horizontal(s),build vertical(s),seq search(s),binary search(s), simd search(s)
67108864,8,0.262026,0.457765,4.53903,4.4467,6.68778,
67108864,16,0.236482,0.445355,4.66589,4.10204,6.20326,
67108864,24,0.475602,0.430606,4.93423,3.91602,6.18033,
67108864,32,0.224306,0.404536,5.47071,3.83261,6.6657,
67108864,40,0.464582,0.43492,5.96314,3.68346,7.09171,
67108864,48,0.461003,0.417159,6.38026,3.74251,7.68721,
67108864,56,0.46446,0.410294,6.83582,3.77679,8.3087,
67108864,64,0.204093,0.402775,7.33166,3.81261,8.99914,
67108864,72,0.460829,0.398296,7.75124,3.68656,9.45779,
67108864,80,0.453766,0.385675,8.18023,3.57951,9.88706,
67108864,88,0.45602,0.370611,8.78057,3.50075,10.2942,
67108864,96,0.450972,0.418063,9.01885,3.55091,10.786,
67108864,104,0.454563,0.418908,9.08444,3.60283,11.3907,
67108864,112,0.454807,0.415472,9.21751,3.66049,11.7134,
67108864,120,0.453289,0.416337,9.39911,3.72479,12.343,
67108864,128,0.199292,0.412095,9.62404,3.79445,12.9534,
67108864,136,0.454492,0.412326,9.89562,3.76914,13.6755,
67108864,144,0.452446,0.411408,10.211,3.77951,14.2801,
67108864,152,0.454007,0.411276,10.5702,3.77883,14.9098,
67108864,160,0.450316,0.41024,10.8758,3.78563,15.5145,
67108864,168,0.452649,0.411163,11.2645,3.80096,16.0526,
67108864,176,0.446828,0.407689,11.5866,3.81771,16.7396,
67108864,184,0.448714,0.407457,11.9398,3.82158,17.4788,
67108864,192,0.451446,0.405745,12.3111,3.83857,18.4638,
67108864,200,0.448499,0.405411,12.6468,3.88052,19.0462,
67108864,208,0.449907,0.403844,12.9924,3.90424,19.6973,
67108864,216,0.448756,0.403599,13.3854,3.91313,20.229,
67108864,224,0.451586,0.40111,13.8325,3.93301,21.2525,
67108864,232,0.449191,0.400764,14.096,3.95721,21.6393,
67108864,240,0.448735,0.400127,14.5118,3.96851,22.2534,
67108864,248,0.448001,0.39776,14.7794,3.98514,22.6006,
67108864,256,0.19493,0.393502,15.3719,4.02625,23.1404,
67108864,264,0.449027,0.393691,15.4895,3.99283,23.5684,
67108864,272,0.456114,0.394169,15.8652,3.96926,24.022,
67108864,280,0.449853,0.392816,16.4741,3.94838,24.5923,
67108864,288,0.447685,0.389048,16.6454,3.91748,24.9471,
67108864,296,0.448869,0.387962,16.8436,3.8916,25.4554,
67108864,304,0.451267,0.385591,17.1911,3.85803,25.8866,
67108864,312,0.451743,0.383762,17.6902,3.84715,26.3417,
67108864,320,0.449337,0.381247,18.344,3.81098,26.9614,
67108864,328,0.448905,0.379867,18.5737,3.80342,27.2558,
67108864,336,0.448645,0.376559,18.6481,3.78031,27.6913,
67108864,344,0.450485,0.375131,18.8193,3.75704,28.0359,
67108864,352,0.44668,0.371261,19.0559,3.73277,27.8166,
67108864,360,0.44886,0.36963,19.3437,3.70211,28.2925,
67108864,368,0.448689,0.368438,19.7679,3.68766,28.4456,
67108864,376,0.448731,0.36422,20.1878,3.66938,28.7626,
67108864,384,0.456173,0.359863,20.7611,3.65693,29.1233,
67108864,392,0.449326,0.357702,21.3086,3.64754,30.0587,
67108864,400,0.453388,0.354063,22.0607,3.63511,30.1292,
67108864,408,0.446536,0.409152,22.5432,3.60576,30.3857,
67108864,416,0.44656,0.407608,22.5812,3.62229,30.8428,
67108864,424,0.44851,0.407836,22.5807,3.62374,31.0514,
67108864,432,0.452582,0.409142,22.6935,3.63822,31.4994,
67108864,440,0.447646,0.409018,22.6572,3.63944,31.561,
67108864,448,0.447773,0.407606,22.7282,3.65373,31.8648,
67108864,456,0.448102,0.408101,22.802,3.66385,32.4473,
67108864,464,0.450341,0.40733,22.8736,3.67398,32.5685,
67108864,472,0.448779,0.407386,22.9687,3.6841,32.9248,
67108864,480,0.453853,0.406329,23.1348,3.70366,33.2162,
67108864,488,0.448941,0.407311,23.1826,3.7085,33.4278,
67108864,496,0.446343,0.407308,23.316,3.71755,33.8888,
67108864,504,0.449122,0.408727,23.4059,3.73061,34.4082,
67108864,512,0.204714,0.400457,23.5311,3.74229,34.7418,
