N,node size,build horizontal(s),build vertical(s),seq search(s),binary search(s), simd search(s)
134217728,8,0.513798,0.964446,9.28363,9.11592,13.7683,
134217728,16,0.46617,0.896061,9.50712,8.33473,12.6682,
134217728,24,0.943142,0.864296,10.2028,7.92546,12.5941,
134217728,32,0.444348,0.843443,11.1575,7.99819,13.9925,
134217728,40,0.931632,0.780305,12.6258,7.54794,14.7226,
134217728,48,0.916417,0.837139,13.2307,7.55435,15.659,
134217728,56,0.92274,0.830885,13.9952,7.67383,16.9279,
134217728,64,0.406395,0.818419,14.8944,7.76791,18.2566,
134217728,72,0.915098,0.810877,15.9538,7.62839,19.5609,
134217728,80,0.902363,0.812216,16.9014,7.55099,20.9144,
134217728,88,0.907066,0.796249,17.8455,7.44197,21.9211,
134217728,96,0.901038,0.76473,18.4599,7.41565,22.8772,
134217728,104,0.905397,0.734538,19.609,7.35311,23.7256,
134217728,112,0.904831,0.833013,20.3718,7.40424,24.7458,
134217728,120,0.90368,0.83041,20.5348,7.50571,25.215,
134217728,128,0.397838,0.824574,20.7776,7.62386,26.5595,
134217728,136,0.906795,0.826059,21.1532,7.58514,27.8843,
134217728,144,0.900707,0.826874,21.5282,7.60072,28.973,
134217728,152,0.903434,0.822758,22.0101,7.6262,30.0787,
134217728,160,0.894713,0.822944,22.4543,7.63821,31.4977,
134217728,168,0.89469,0.82097,23.0715,7.66832,32.7698,
134217728,176,0.888205,0.819222,23.6823,7.71628,33.9553,
134217728,184,0.893948,0.818831,24.3661,7.75356,35.4181,
134217728,192,0.901578,0.818892,25.0883,7.77901,36.9799,
134217728,200,0.890587,0.81501,25.7452,7.87557,38.6175,
134217728,208,0.895076,0.812985,26.499,7.92683,39.9449,
134217728,216,0.892071,0.813839,27.1713,7.97027,41.5654,
134217728,224,0.902683,0.812139,27.9549,8.01485,42.8756,
134217728,232,0.89692,0.810196,28.624,8.08389,43.8211,
134217728,240,0.893812,0.808508,29.3178,8.10859,44.8989,
134217728,248,0.896177,0.808363,30.0851,8.15951,46.7165,
134217728,256,0.389933,0.800685,30.965,8.20606,47.1012,
134217728,264,0.896085,0.802573,31.5287,8.16002,48.276,
134217728,272,0.893959,0.801562,32.2367,8.13662,49.3898,
134217728,280,0.897032,0.806338,33.2054,8.11086,50.6034,
134217728,288,0.891613,0.797434,33.6434,8.0797,51.7167,
134217728,296,0.895329,0.799292,34.5544,8.0594,52.6379,
134217728,304,0.898227,0.792313,35.1928,8.02906,54.6513,
134217728,312,0.900368,0.791119,35.7694,8.01566,54.8945,
134217728,320,0.893596,0.789805,36.9131,7.98825,56.2713,
134217728,328,0.899833,0.7863,37.4175,8.01409,57.1162,
134217728,336,0.893364,0.786193,37.8841,7.9722,57.6179,
134217728,344,0.898894,0.788089,38.7235,7.9633,58.8404,
134217728,352,0.89397,0.779809,40.0289,7.95248,59.8788,
134217728,360,0.894496,0.782503,40.6116,7.9343,61.3463,
134217728,368,0.898817,0.772759,40.7383,7.88783,61.3478,
134217728,376,0.896683,0.774657,41.2547,7.87724,62.5486,
134217728,384,0.899485,0.767554,42.0477,7.84929,63.0574,
134217728,392,0.893881,0.765559,43.0394,7.88487,64.0081,
134217728,400,0.899157,0.763101,44.2503,7.85749,65.9658,
134217728,408,0.898535,0.761244,45.4181,7.83476,66.3812,
134217728,416,0.897281,0.754993,45.4548,7.81514,66.689,
134217728,424,0.904116,0.750613,45.6316,7.79197,67.4787,
134217728,432,0.901766,0.747326,45.9627,7.75999,67.9991,
134217728,440,0.900851,0.743848,46.4022,7.74768,68.2202,
134217728,448,0.89716,0.739242,46.9466,7.7278,68.8179,
134217728,456,0.90177,0.735449,47.6323,7.71711,69.1186,
134217728,464,0.895414,0.729907,48.3963,7.70898,70.0147,
134217728,472,0.898209,0.728565,49.2831,7.66478,70.4846,
134217728,480,0.901404,0.721913,50.3163,7.63675,71.68,
134217728,488,0.890639,0.71632,51.4533,7.61586,72.1273,
134217728,496,0.894907,0.714289,52.7237,7.58601,72.989,
134217728,504,0.903767,0.70658,54.0789,7.56262,73.6063,
134217728,512,0.408787,0.80073,55.4922,7.54541,75.0321,
