N,node size,build horizontal(s),build vertical(s),seq search(s),binary search(s), simd search(s)
67108864,8,0.260272,0.458016,4.53863,4.44844,6.66608,
67108864,16,0.234622,0.444963,4.66533,4.11255,6.20258,
67108864,24,0.475399,0.430708,4.92053,3.90875,6.16452,
67108864,32,0.224046,0.404364,5.47194,3.83575,6.69165,
67108864,40,0.464423,0.43542,5.96438,3.69039,7.08288,
67108864,48,0.460055,0.41824,6.37918,3.74115,7.68792,
67108864,56,0.464061,0.411661,6.82664,3.77059,8.297,
67108864,64,0.203323,0.403008,7.33418,3.81293,8.89135,
67108864,72,0.460268,0.398509,7.75383,3.6856,9.4666,
67108864,80,0.455154,0.386956,8.17701,3.5814,10.0354,
67108864,88,0.455149,0.369207,8.77784,3.50275,10.3514,
67108864,96,0.451243,0.419341,9.03223,3.56703,10.8933,
67108864,104,0.453198,0.418445,9.08704,3.60254,11.2318,
67108864,112,0.454125,0.415928,9.21792,3.66053,11.6955,
67108864,120,0.453843,0.416027,9.40364,3.7271,12.3157,
67108864,128,0.199135,0.41196,9.62183,3.79192,12.9781,
67108864,136,0.454896,0.412635,9.89184,3.76797,13.5667,
67108864,144,0.453081,0.411394,10.2085,3.78339,14.3301,
67108864,152,0.453413,0.411804,10.5641,3.78311,14.8785,
67108864,160,0.450343,0.410184,10.8749,3.78901,15.5397,
67108864,168,0.452554,0.409218,11.2566,3.80006,16.0126,
67108864,176,0.447581,0.407587,11.585,3.81604,16.7357,
67108864,184,0.449075,0.40705,11.9432,3.82041,17.6384,
67108864,192,0.452403,0.405742,12.2881,3.84325,18.3776,
67108864,200,0.447142,0.404439,12.6576,3.88096,18.9287,
67108864,208,0.448268,0.405803,12.9959,3.90284,19.5797,
67108864,216,0.450553,0.402878,13.3654,3.92317,20.2901,
67108864,224,0.450998,0.402554,13.832,3.92579,21.262,
67108864,232,0.448888,0.40031,14.0802,3.95881,21.3853,
67108864,240,0.448652,0.398673,14.5174,3.97388,22.1764,
67108864,248,0.449938,0.39764,14.8307,4.00986,22.7088,
67108864,256,0.196076,0.393629,15.3712,4.02197,23.2264,
67108864,264,0.449117,0.393869,15.4903,3.99668,23.7715,
67108864,272,0.448647,0.394246,15.8659,3.97132,24.0602,
67108864,280,0.450076,0.390888,16.4714,3.94578,24.5719,
67108864,288,0.447194,0.389514,16.6419,3.91548,25.0006,
67108864,296,0.449819,0.387269,16.8361,3.89098,25.1828,
67108864,304,0.452291,0.38578,17.1867,3.86103,25.7784,
67108864,312,0.451326,0.383651,17.6948,3.84541,26.3605,
67108864,320,0.44926,0.382856,18.3439,3.8223,26.9208,
67108864,328,0.449008,0.378544,18.5657,3.79806,27.3826,
67108864,336,0.449202,0.377653,18.6494,3.7811,27.7678,
67108864,344,0.450069,0.374382,18.819,3.75192,27.6082,
67108864,352,0.447398,0.373009,19.0408,3.7335,28.1062,
67108864,360,0.448699,0.370298,19.3385,3.7022,28.0362,
67108864,368,0.449662,0.366687,19.7351,3.68541,28.5315,
67108864,376,0.449472,0.363179,20.1831,3.66676,28.7778,
67108864,384,0.455758,0.360615,20.7081,3.64422,29.2903,
67108864,392,0.448838,0.358097,21.3117,3.6455,29.6863,
67108864,400,0.453128,0.354021,22.0044,3.62138,30.0177,
67108864,408,0.447914,0.408501,22.5458,3.6084,30.3807,
67108864,416,0.445794,0.408441,22.5659,3.61741,30.8017,
67108864,424,0.446963,0.407718,22.58,3.62282,30.9551,
67108864,432,0.452134,0.408168,22.6236,3.62968,31.2139,
67108864,440,0.44716,0.407146,22.6694,3.63963,31.9102,
67108864,448,0.446486,0.408293,22.7433,3.66037,32.0899,
67108864,456,0.447811,0.407203,22.8088,3.65896,32.2674,
67108864,464,0.451965,0.40814,22.8726,3.67035,32.6969,
67108864,472,0.448452,0.406905,22.9972,3.68872,32.9292,
67108864,480,0.449917,0.407209,23.0629,3.69182,33.1602,
67108864,488,0.447312,0.407667,23.1809,3.70617,33.5231,
67108864,496,0.445731,0.408497,23.2899,3.71956,33.7789,
67108864,504,0.449596,0.407111,23.4002,3.73357,34.2119,
67108864,512,0.20421,0.400018,23.5443,3.74556,34.7597,
