N,node size,build horizontal(s),build vertical(s),seq search(s),binary search(s), simd search(s)
33554432,8,0.13126,0.23451,2.24759,2.32682,3.38536,
33554432,16,0.121328,0.199604,2.26488,2.14216,3.13841,
33554432,24,0.239943,0.202725,2.4163,2.07461,3.18854,
33554432,32,0.113556,0.203626,2.65264,1.98286,3.30351,
33554432,40,0.233465,0.210171,2.85061,1.9743,3.63634,
33554432,48,0.231093,0.198207,3.15411,2.00152,3.9969,
33554432,56,0.233124,0.194687,3.40199,2.01068,4.3332,
33554432,64,0.104015,0.188228,3.70247,1.99464,4.64313,
33554432,72,0.231941,0.181601,3.87352,1.8816,4.79281,
33554432,80,0.229809,0.200433,4.09213,1.87493,5.04254,
33554432,88,0.228279,0.20017,4.11707,1.88257,5.30099,
33554432,96,0.226283,0.200856,4.17427,1.94971,5.60612,
33554432,104,0.228009,0.200481,4.28095,1.99385,5.8967,
33554432,112,0.228086,0.198993,4.43098,2.00165,6.21058,
33554432,120,0.227511,0.198713,4.59587,2.07367,6.61242,
33554432,128,0.100377,0.196895,4.77407,2.11261,7.03826,
33554432,136,0.227963,0.197347,4.94207,2.0853,7.34451,
33554432,144,0.227616,0.19673,5.12914,2.0728,7.68318,
33554432,152,0.228261,0.196362,5.28807,2.07486,8.18711,
33554432,160,0.225941,0.195863,5.48945,2.05858,8.62488,
33554432,168,0.226933,0.194872,5.6957,2.07273,9.12824,
33554432,176,0.224721,0.195013,5.86499,2.07674,9.49208,
33554432,184,0.224819,0.194121,6.01523,2.08041,9.6743,
33554432,192,0.227495,0.192212,6.21018,2.10676,10.147,
33554432,200,0.227179,0.192611,6.41243,2.10397,10.2704,
33554432,208,0.224658,0.191547,6.57151,2.10915,10.5247,
33554432,216,0.226209,0.191344,6.74072,2.11212,10.8771,
33554432,224,0.226043,0.190285,7.04229,2.12072,11.2453,
33554432,232,0.225844,0.189302,7.0944,2.12499,11.3743,
33554432,240,0.224516,0.188689,7.24761,2.12043,11.5872,
33554432,248,0.226383,0.187755,7.50084,2.12601,11.8839,
33554432,256,0.0980817,0.185492,7.82838,2.12196,12.1676,
33554432,264,0.224749,0.185445,7.85856,2.10343,12.4697,
33554432,272,0.226764,0.184017,7.92857,2.05571,12.5161,
33554432,280,0.225748,0.183007,8.0711,2.07084,12.5959,
33554432,288,0.226888,0.181796,8.21429,2.03979,12.8071,
33554432,296,0.228732,0.180669,8.4399,2.02035,12.9287,
33554432,304,0.225657,0.180268,8.68172,2.00056,13.193,
33554432,312,0.224979,0.178006,8.98418,1.98006,13.364,
33554432,320,0.224108,0.176379,9.36202,1.9623,13.5478,
33554432,328,0.224446,0.195634,9.49057,1.95664,13.8328,
33554432,336,0.225508,0.195427,9.47494,1.96435,13.8953,
33554432,344,0.223874,0.195379,9.48894,1.96274,14.074,
33554432,352,0.225849,0.195238,9.54862,1.96812,14.2895,
33554432,360,0.224118,0.195819,9.55222,1.96996,14.4509,
33554432,368,0.225061,0.19521,9.59341,1.97413,14.6032,
33554432,376,0.225507,0.195162,9.64234,1.98322,14.9168,
33554432,384,0.223464,0.195363,9.69294,1.98755,15.0485,
33554432,392,0.226087,0.195547,9.75161,1.99855,15.2754,
33554432,400,0.225858,0.19495,9.81303,1.99991,15.4846,
33554432,408,0.225086,0.195039,9.87157,2.00276,15.6829,
33554432,416,0.224413,0.195146,9.94387,2.00383,15.9139,
33554432,424,0.225408,0.195401,10.0549,2.01381,16.1603,
33554432,432,0.227048,0.195728,10.0945,2.00611,16.2904,
33554432,440,0.22469,0.19445,10.1668,2.00971,16.513,
33554432,448,0.228189,0.194509,10.2568,2.01873,16.7232,
33554432,456,0.22471,0.195433,10.336,2.02385,16.9064,
33554432,464,0.225653,0.194419,10.4244,2.02563,17.1157,
33554432,472,0.225216,0.194701,10.5116,2.03152,17.3818,
33554432,480,0.225407,0.194793,10.6144,2.03848,17.589,
33554432,488,0.223951,0.194361,10.7182,2.04055,17.9252,
33554432,496,0.225087,0.195048,10.7954,2.04751,18.2127,
33554432,504,0.227338,0.194655,10.8922,2.05941,18.2127,
33554432,512,0.102691,0.191221,11.0198,2.06584,18.6942,
