N,node size,build horizontal(s),build vertical(s),seq search(s),binary search(s), simd search(s)
134217728,8,0.515679,0.921634,9.52619,9.88024,14.6669,
134217728,16,0.466333,0.856367,9.61358,9.08059,13.427,
134217728,24,0.941195,0.823909,10.2565,8.64966,13.4586,
134217728,32,0.444619,0.794358,11.0992,8.63686,14.9125,
134217728,40,0.927817,0.773274,12.5531,8.12162,15.5303,
134217728,48,0.917862,0.800019,13.3602,8.29443,16.7466,
134217728,56,0.924017,0.795385,14.2338,8.39066,18.1585,
134217728,64,0.40608,0.785034,15.2053,8.48329,19.7272,
134217728,72,0.913191,0.776305,16.2705,8.29132,21.0521,
134217728,80,0.901424,0.782781,17.2692,8.24053,22.456,
134217728,88,0.904888,0.773061,18.2209,8.16097,23.6985,
134217728,96,0.899998,0.749537,18.878,8.16832,24.8297,
134217728,104,0.904217,0.732508,20.1722,8.18528,25.4886,
134217728,112,0.906751,0.798485,20.9521,8.28589,26.4562,
134217728,120,0.913737,0.796206,21.2099,8.49945,27.9941,
134217728,128,0.396626,0.788467,21.3236,8.65742,29.1554,
134217728,136,0.90614,0.791876,21.7364,8.57207,30.4461,
134217728,144,0.900863,0.792375,22.0829,8.50891,31.574,
134217728,152,0.904273,0.789984,22.5585,8.47013,33.6812,
134217728,160,0.896967,0.788175,23.0425,8.53082,35.6565,
134217728,168,0.904918,0.787319,23.6799,8.52974,37.2478,
134217728,176,0.886901,0.785178,24.33,8.57696,39.0813,
134217728,184,0.892513,0.785243,25.0249,8.60254,40.0385,
134217728,192,0.897253,0.781852,25.7692,8.61444,41.5088,
134217728,200,0.892435,0.786134,26.45,8.74312,42.5137,
134217728,208,0.891634,0.780537,27.224,8.82154,44.3152,
134217728,216,0.892274,0.780771,27.9856,8.86515,45.2477,
134217728,224,0.900708,0.783708,28.8422,8.9169,47.0244,
134217728,232,0.893016,0.77709,29.3884,8.93512,48.0287,
134217728,240,0.895389,0.77729,30.1129,8.97786,49.3425,
134217728,248,0.894519,0.777781,30.8821,9.03915,50.8426,
134217728,256,0.389563,0.768969,31.7707,9.05371,52.251,
134217728,264,0.901138,0.773238,32.3611,8.99209,53.482,
134217728,272,0.895533,0.770429,33.0853,8.96149,54.6504,
134217728,280,0.89806,0.770332,34.0645,8.94879,56.2929,
134217728,288,0.891258,0.768919,34.5261,8.93812,58.0005,
134217728,296,0.894939,0.767459,35.509,8.85949,58.9856,
134217728,304,0.8985,0.765069,36.1225,8.83043,60.5159,
134217728,312,0.901174,0.764685,36.743,8.80212,60.8822,
134217728,320,0.894555,0.763269,37.8719,8.82398,62.332,
134217728,328,0.900898,0.763269,38.367,8.77871,63.2187,
134217728,336,0.893792,0.758528,38.8408,8.75806,64.245,
134217728,344,0.89729,0.75815,39.6967,8.73497,65.4189,
134217728,352,0.894954,0.755474,40.9704,8.73093,66.7468,
134217728,360,0.89363,0.753613,41.5285,8.71171,67.634,
134217728,368,0.900127,0.750885,41.8315,8.70263,68.6731,
134217728,376,0.896624,0.750074,42.3304,8.6766,69.4122,
134217728,384,0.898831,0.747358,43.1787,8.66234,70.1703,
134217728,392,0.895693,0.74805,44.1131,8.68102,71.9841,
134217728,400,0.897567,0.745167,45.4055,8.63622,72.666,
134217728,408,0.901111,0.744478,46.5281,8.62377,73.6577,
134217728,416,0.899615,0.740615,46.6248,8.61148,74.3209,
134217728,424,0.901846,0.7357,46.8393,8.57607,74.5124,
134217728,432,0.901377,0.732684,47.172,8.55248,75.182,
134217728,440,0.899545,0.730005,47.7587,8.53158,76.1809,
134217728,448,0.898315,0.727187,48.2372,8.53262,76.4192,
134217728,456,0.899108,0.723551,48.8552,8.5193,76.8653,
134217728,464,0.896608,0.721738,49.6788,8.48185,77.5387,
134217728,472,0.896428,0.718863,50.609,8.45128,78.6723,
134217728,480,0.896999,0.717146,51.6631,8.41817,79.0661,
134217728,488,0.891875,0.711339,52.8143,8.40283,80.0531,
134217728,496,0.893277,0.709661,54.1036,8.38712,80.6152,
134217728,504,0.902852,0.703409,55.524,8.39751,81.5963,
134217728,512,0.409001,0.763205,56.9236,8.3908,83.1638,
