N,node size,build horizontal(s),build vertical(s),seq search(s),binary search(s), simd search(s)
33554432,8,0.132039,0.213526,2.1151,2.20389,3.15728,
33554432,16,0.12401,0.190849,2.17956,2.02516,2.95341,
33554432,24,0.238166,0.183715,2.36357,1.96647,3.02086,
33554432,32,0.111532,0.177687,2.62124,1.86495,3.16967,
33554432,40,0.230888,0.182186,2.81424,1.86566,3.43342,
33554432,48,0.230054,0.175554,3.08079,1.88811,3.77077,
33554432,56,0.231472,0.175881,3.29719,1.89399,4.03692,
33554432,64,0.1033,0.174796,3.56069,1.86978,4.2612,
33554432,72,0.230118,0.177368,3.75272,1.76988,4.43744,
33554432,80,0.2256,0.174324,3.96539,1.74378,4.66364,
33554432,88,0.226685,0.173401,3.99051,1.75246,4.90357,
33554432,96,0.223945,0.172978,4.0486,1.78289,5.18193,
33554432,104,0.226235,0.173223,4.14765,1.81305,5.43466,
33554432,112,0.226515,0.172019,4.28765,1.83781,5.71598,
33554432,120,0.226201,0.172234,4.44753,1.86693,6.09473,
33554432,128,0.0994337,0.171019,4.62268,1.89682,6.36835,
33554432,136,0.225765,0.171167,4.79045,1.88697,6.68322,
33554432,144,0.225145,0.171268,4.96884,1.88018,6.9661,
33554432,152,0.226008,0.170902,5.13039,1.87074,7.25869,
33554432,160,0.223853,0.170978,5.32606,1.87952,7.58522,
33554432,168,0.226007,0.171458,5.53121,1.88161,7.95184,
33554432,176,0.223318,0.170983,5.72254,1.88485,8.30253,
33554432,184,0.222882,0.170995,5.85051,1.8748,8.61256,
33554432,192,0.224975,0.170916,6.039,1.88865,8.76473,
33554432,200,0.223193,0.171531,6.23456,1.90367,9.08906,
33554432,208,0.222996,0.171375,6.38714,1.91117,9.30586,
33554432,216,0.223506,0.171835,6.55742,1.92009,9.59378,
33554432,224,0.22498,0.171626,6.85931,1.92736,9.91423,
33554432,232,0.223306,0.172496,6.90405,1.92359,10.0486,
33554432,240,0.223509,0.173131,7.0506,1.92114,10.1756,
33554432,248,0.223394,0.17315,7.28769,1.92992,10.4521,
33554432,256,0.0976612,0.171094,7.64009,1.94167,11.0483,
33554432,264,0.223506,0.173218,7.6422,1.91457,11.0333,
33554432,272,0.223149,0.173231,7.71081,1.89274,10.9697,
33554432,280,0.224044,0.173757,7.82706,1.87055,11.1138,
33554432,288,0.223878,0.174405,7.98986,1.85007,11.2488,
33554432,296,0.223817,0.174891,8.20204,1.82724,11.4597,
33554432,304,0.223623,0.175172,8.4473,1.80348,11.6602,
33554432,312,0.223127,0.175724,8.74922,1.78389,11.8332,
33554432,320,0.222587,0.176137,9.11952,1.76586,12.013,
33554432,328,0.222541,0.167783,9.25291,1.76617,12.3282,
33554432,336,0.222939,0.167826,9.22858,1.76464,12.4882,
33554432,344,0.221652,0.167426,9.24535,1.76442,12.4572,
33554432,352,0.222745,0.167477,9.26912,1.76803,12.6006,
33554432,360,0.221298,0.167655,9.30713,1.7671,12.7911,
33554432,368,0.223048,0.167529,9.37755,1.77032,12.9675,
33554432,376,0.221733,0.167479,9.38944,1.78114,13.2545,
33554432,384,0.221452,0.167154,9.43672,1.78058,13.2941,
33554432,392,0.227324,0.167412,9.51522,1.80263,13.5481,
33554432,400,0.222864,0.167199,9.55017,1.79665,13.6529,
33554432,408,0.221829,0.16725,9.62751,1.79961,13.7875,
33554432,416,0.221096,0.167168,9.68234,1.80461,13.9659,
33554432,424,0.22231,0.167406,9.78333,1.81392,14.1333,
33554432,432,0.22524,0.167156,9.82368,1.81264,14.3072,
33554432,440,0.222515,0.167129,9.89643,1.82533,14.4517,
33554432,448,0.222379,0.167212,9.97775,1.82265,14.7206,
33554432,456,0.222916,0.167433,10.0604,1.83097,14.853,
33554432,464,0.223714,0.16703,10.1802,1.8429,15.1054,
33554432,472,0.22296,0.168174,10.2341,1.84563,15.2346,
33554432,480,0.223497,0.167625,10.3236,1.84995,15.4084,
33554432,488,0.221929,0.166925,10.4123,1.85858,15.8498,
33554432,496,0.222104,0.166992,10.5032,1.86605,15.8178,
33554432,504,0.223571,0.167508,10.601,1.87501,16.0119,
33554432,512,0.102513,0.163616,10.6991,1.88069,16.4419,
