N,node size,build horizontal(s),build vertical(s),seq search(s),binary search(s), simd search(s)
67108864,8,0.267779,0.427592,4.27278,4.98045,7.10428,
67108864,16,0.239165,0.408643,4.42672,4.66209,6.57833,
67108864,24,0.47229,0.373144,4.71101,4.51919,6.52537,
67108864,32,0.227904,0.364314,5.27329,4.34719,7.04741,
67108864,40,0.462562,0.378566,5.6898,4.25074,7.45668,
67108864,48,0.459202,0.360384,6.05485,4.32342,8.19283,
67108864,56,0.459963,0.358427,6.62058,4.33439,8.87329,
67108864,64,0.203559,0.355233,7.22674,4.35541,9.54693,
67108864,72,0.45833,0.359197,7.68728,4.20739,10.158,
67108864,80,0.453636,0.361492,8.1633,4.12225,10.7168,
67108864,88,0.455104,0.361888,8.85591,4.07398,11.0703,
67108864,96,0.447024,0.361312,9.11177,4.14128,11.6287,
67108864,104,0.451161,0.363624,9.1657,4.19193,12.104,
67108864,112,0.457242,0.359533,9.28614,4.25503,12.6854,
67108864,120,0.449158,0.359237,9.48088,4.35072,13.3515,
67108864,128,0.201033,0.358676,9.76295,4.42293,14.0587,
67108864,136,0.451869,0.357721,10.0602,4.39563,14.8191,
67108864,144,0.44864,0.357479,10.3965,4.3726,15.3861,
67108864,152,0.450793,0.35674,10.784,4.39773,16.3967,
67108864,160,0.447222,0.3566,11.1195,4.39083,17.044,
67108864,168,0.448431,0.356607,11.5203,4.43553,17.8892,
67108864,176,0.443668,0.356411,11.8458,4.44797,18.5978,
67108864,184,0.444906,0.356113,12.2239,4.46235,19.2666,
67108864,192,0.448506,0.35562,12.571,4.46793,19.8743,
67108864,200,0.445,0.357191,12.9492,4.49888,20.6562,
67108864,208,0.445401,0.361681,13.3598,4.54236,21.3137,
67108864,216,0.445252,0.355628,13.6947,4.53997,21.9441,
67108864,224,0.448482,0.354195,14.1871,4.54708,22.6162,
67108864,232,0.445834,0.35517,14.4475,4.56674,23.0492,
67108864,240,0.446961,0.354915,14.9115,4.59394,23.7544,
67108864,248,0.446003,0.354339,15.192,4.59159,24.2195,
67108864,256,0.194776,0.350659,15.7963,4.63403,25.1161,
67108864,264,0.446821,0.353335,15.9377,4.6055,25.4364,
67108864,272,0.447708,0.35322,16.3198,4.57031,25.9527,
67108864,280,0.447828,0.354109,16.9667,4.54136,26.983,
67108864,288,0.44342,0.352865,17.1538,4.52529,27.1882,
67108864,296,0.445639,0.352664,17.3738,4.48212,27.418,
67108864,304,0.449519,0.352876,17.7232,4.45678,27.9609,
67108864,312,0.44802,0.352838,18.245,4.42953,28.589,
67108864,320,0.447452,0.352673,18.9322,4.39984,29.1957,
67108864,328,0.44681,0.351753,19.1737,4.37503,29.6131,
67108864,336,0.445163,0.351646,19.2875,4.35304,30.1579,
67108864,344,0.44694,0.351755,19.5019,4.32871,30.1059,
67108864,352,0.443377,0.352238,19.7186,4.32416,30.4516,
67108864,360,0.447109,0.352197,20.0216,4.29022,30.7178,
67108864,368,0.447263,0.351861,20.413,4.27456,30.9359,
67108864,376,0.448162,0.352454,20.8979,4.25747,31.4355,
67108864,384,0.454908,0.346897,21.4086,4.23235,31.7734,
67108864,392,0.446161,0.352155,22.0832,4.22748,32.1608,
67108864,400,0.452384,0.351402,22.7804,4.20378,32.5966,
67108864,408,0.443447,0.351352,23.3645,4.18578,32.9952,
67108864,416,0.449635,0.351301,23.4582,4.21175,33.4529,
67108864,424,0.445483,0.350683,23.3981,4.20443,33.6421,
67108864,432,0.449337,0.350911,23.439,4.21227,34.0582,
67108864,440,0.445363,0.351018,23.5082,4.22846,34.4628,
67108864,448,0.444013,0.351194,23.547,4.24088,34.7786,
67108864,456,0.445016,0.351201,23.6439,4.23973,35.1468,
67108864,464,0.447818,0.351029,23.8071,4.26435,35.6056,
67108864,472,0.445998,0.351724,23.8215,4.26485,36.044,
67108864,480,0.445918,0.350203,23.9778,4.2878,36.6468,
67108864,488,0.444035,0.350871,24.0346,4.28875,36.775,
67108864,496,0.443137,0.350777,24.1732,4.30527,37.1211,
67108864,504,0.452692,0.350433,24.2919,4.33181,37.5948,
67108864,512,0.206782,0.345307,24.3712,4.34644,39.4874,
