N,node size,build horizontal(s),build vertical(s),seq search(s),binary search(s), simd search(s)
67108864,8,0.262097,0.457742,4.53524,4.44124,6.6762,
67108864,16,0.236345,0.444958,4.66546,4.10639,6.20985,
67108864,24,0.475038,0.431295,4.92102,3.90422,6.16512,
67108864,32,0.223019,0.404192,5.47648,3.83654,6.71925,
67108864,40,0.465383,0.43638,5.96916,3.69259,7.07363,
67108864,48,0.461148,0.417003,6.38531,3.74188,7.67804,
67108864,56,0.463826,0.409918,6.82329,3.77618,8.30313,
67108864,64,0.203992,0.402956,7.33241,3.80395,8.85957,
67108864,72,0.460774,0.399132,7.75081,3.68431,9.4489,
67108864,80,0.452962,0.385424,8.17868,3.58358,9.9196,
67108864,88,0.45447,0.369299,8.77927,3.50212,10.301,
67108864,96,0.451974,0.418175,9.01951,3.55928,10.8047,
67108864,104,0.454441,0.419676,9.09028,3.60611,11.2289,
67108864,112,0.453943,0.415867,9.21872,3.66427,11.768,
67108864,120,0.454052,0.414632,9.39609,3.72412,12.215,
67108864,128,0.199668,0.411768,9.61922,3.79514,12.9995,
67108864,136,0.456256,0.412888,9.89639,3.77205,13.6759,
67108864,144,0.454426,0.411245,10.2081,3.78293,14.1981,
67108864,152,0.453239,0.411311,10.5649,3.77572,14.8698,
67108864,160,0.450962,0.411489,10.9207,3.79921,15.5523,
67108864,168,0.452223,0.408918,11.2526,3.7928,16.1531,
67108864,176,0.447294,0.407345,11.5885,3.81741,16.7182,
67108864,184,0.449175,0.40715,11.9505,3.82384,17.6569,
67108864,192,0.45098,0.405538,12.2812,3.84158,18.4587,
67108864,200,0.448917,0.405311,12.648,3.88078,19.0628,
67108864,208,0.448814,0.404603,12.9915,3.90607,19.6222,
67108864,216,0.449946,0.404421,13.3659,3.92134,20.3761,
67108864,224,0.451633,0.402194,13.8289,3.93247,20.9617,
67108864,232,0.448969,0.400687,14.0819,3.95745,21.4139,
67108864,240,0.447869,0.399122,14.5127,3.96268,22.121,
67108864,248,0.448411,0.397322,14.7877,3.98546,22.5276,
67108864,256,0.19415,0.39307,15.3779,4.0253,23.471,
67108864,264,0.449623,0.395079,15.4924,3.9942,23.4281,
67108864,272,0.448633,0.392515,15.8539,3.9692,23.9802,
67108864,280,0.450521,0.392079,16.4833,3.94808,24.6326,
67108864,288,0.448109,0.389013,16.6466,3.91826,24.9381,
67108864,296,0.451388,0.38856,16.8351,3.88848,25.2858,
67108864,304,0.452705,0.385957,17.202,3.85782,25.8995,
67108864,312,0.450437,0.383407,17.6852,3.84462,26.3342,
67108864,320,0.449327,0.3833,18.3462,3.82153,27.2575,
67108864,328,0.450067,0.380606,18.5691,3.81006,27.2552,
67108864,336,0.450992,0.376999,18.6624,3.78497,27.5541,
67108864,344,0.449433,0.373601,18.813,3.75093,27.979,
67108864,352,0.449252,0.37122,19.0452,3.74268,27.8029,
67108864,360,0.449478,0.368554,19.3518,3.7032,28.0844,
67108864,368,0.449244,0.366255,19.7313,3.68556,28.5382,
67108864,376,0.448887,0.363766,20.1862,3.66836,28.7556,
67108864,384,0.455462,0.360618,20.7108,3.64422,29.2728,
67108864,392,0.448627,0.35741,21.3125,3.64682,29.5689,
67108864,400,0.454354,0.355522,21.993,3.62277,30.006,
67108864,408,0.447219,0.408583,22.5539,3.60976,30.3886,
67108864,416,0.448441,0.41012,22.5646,3.62005,30.7588,
67108864,424,0.446443,0.407369,22.5813,3.62264,30.9644,
67108864,432,0.451935,0.407739,22.6203,3.62891,31.3697,
67108864,440,0.449041,0.408308,22.6621,3.6407,31.6515,
67108864,448,0.447447,0.406823,22.7296,3.6498,31.8326,
67108864,456,0.448203,0.408019,22.7939,3.65928,32.455,
67108864,464,0.45153,0.406773,22.8917,3.67386,32.7114,
67108864,472,0.448137,0.407061,22.9635,3.68387,32.9492,
67108864,480,0.449587,0.407668,23.1307,3.70432,33.3343,
67108864,488,0.446495,0.408425,23.205,3.70697,33.6011,
67108864,496,0.446018,0.408957,23.3279,3.71676,33.9171,
67108864,504,0.449605,0.406486,23.3966,3.73202,34.389,
67108864,512,0.204612,0.400642,23.525,3.74218,34.9786,
