N,node size,build horizontal(s),build vertical(s),seq search(s),binary search(s), simd search(s)
67108864,8,0.156467,0.0880478,0.9382,1.03502,1.22762,
67108864,16,0.113102,0.102045,1.00631,0.970438,1.2446,
67108864,24,0.334155,0.0781816,1.08949,0.913275,1.36338,
67108864,32,0.145964,0.076534,1.3006,0.913423,1.56963,
67108864,40,0.306846,0.0742874,1.3404,0.861751,1.66876,
67108864,48,0.31421,0.0744367,1.43642,0.871182,1.87288,
67108864,56,0.322932,0.0746251,1.56286,0.889428,2.0351,
67108864,64,0.0900816,0.0738721,1.70202,0.916501,2.25205,
67108864,72,0.36574,0.0748565,1.90729,0.896114,2.37066,
67108864,80,0.397265,0.0749099,2.02298,0.861253,2.50916,
67108864,88,0.439536,0.0734241,2.10286,0.843909,2.65758,
67108864,96,0.299035,0.0713044,2.15993,0.846626,2.75537,
67108864,104,0.30113,0.0718518,2.18427,0.837594,2.89262,
67108864,112,0.304859,0.0724326,2.26913,0.853959,2.96947,
67108864,120,0.311105,0.0714028,2.2894,0.868259,3.11236,
67108864,128,0.058173,0.0729215,2.34273,0.8862,3.29699,
67108864,136,0.306786,0.0734209,2.42659,0.87418,3.4739,
67108864,144,0.307982,0.0735453,2.49098,0.870736,3.64522,
67108864,152,0.309221,0.0728954,2.5972,0.880676,3.84692,
67108864,160,0.311521,0.0740243,2.69163,0.875752,4.03525,
67108864,168,0.312063,0.0738214,2.77595,0.884337,4.18865,
67108864,176,0.312535,0.0738346,2.8881,0.893193,4.33296,
67108864,184,0.314816,0.073173,2.99377,0.889748,4.53001,
67108864,192,0.31714,0.0742488,3.12087,0.887829,4.63707,
67108864,200,0.321233,0.0748284,3.18962,0.915131,4.79024,
67108864,208,0.319861,0.0746169,3.27057,0.921879,4.89177,
67108864,216,0.323732,0.0740728,3.42961,0.910254,5.05068,
67108864,224,0.341265,0.0770391,3.5788,0.907088,5.21168,
67108864,232,0.327618,0.075917,3.71226,0.929409,5.38823,
67108864,240,0.341205,0.0773666,3.77648,0.915852,5.57645,
67108864,248,0.335509,0.0767049,3.87438,0.927391,5.64887,
67108864,256,0.0921056,0.0746452,3.98236,0.943662,5.92158,
67108864,264,0.337129,0.0748377,4.2198,0.93964,6.06299,
67108864,272,0.346774,0.0759382,4.27508,0.936651,6.13433,
67108864,280,0.35093,0.0742917,4.31493,0.930386,6.31971,
67108864,288,0.352814,0.0732232,4.58817,0.93946,6.35278,
67108864,296,0.360907,0.0796621,4.68305,0.914131,6.42639,
67108864,304,0.36619,0.0746413,4.82568,0.921309,6.53592,
67108864,312,0.370846,0.0798733,5.01993,0.906734,6.89438,
67108864,320,0.375099,0.0777885,5.19035,0.896461,6.78254,
67108864,328,0.380726,0.0740376,5.26876,0.901299,6.89963,
67108864,336,0.388465,0.0738752,5.02474,0.892841,7.01853,
67108864,344,0.396442,0.0732612,5.45883,0.896547,6.96936,
67108864,352,0.395174,0.0776622,5.54026,0.888573,7.09753,
67108864,360,0.409157,0.0770232,5.64335,0.887564,7.14766,
67108864,368,0.414478,0.0776491,5.7436,0.889166,7.30748,
67108864,376,0.422579,0.0775726,5.67696,0.883677,7.29899,
67108864,384,0.445472,0.0765649,5.83502,0.885775,7.35447,
67108864,392,0.437907,0.0798034,6.16111,0.876939,7.46798,
67108864,400,0.445678,0.0788729,5.92209,0.831462,7.51299,
67108864,408,0.30082,0.0707065,6.06432,0.824059,7.6789,
67108864,416,0.301061,0.0703712,6.41138,0.837365,7.72909,
67108864,424,0.299508,0.071555,6.26345,0.828364,7.88805,
67108864,432,0.301555,0.0713161,6.2469,0.828397,7.99653,
67108864,440,0.299643,0.0711525,6.18804,0.829231,7.97907,
67108864,448,0.29835,0.0708876,6.18173,0.835007,8.03779,
67108864,456,0.298719,0.0701333,6.43991,0.847592,8.15942,
67108864,464,0.30053,0.0686735,6.21019,0.85057,8.34502,
67108864,472,0.305147,0.0704116,6.43862,0.845645,8.25668,
67108864,480,0.297638,0.0702928,6.44227,0.84887,8.46346,
67108864,488,0.299896,0.0711667,6.36354,0.848326,8.50908,
67108864,496,0.299978,0.0696287,6.44084,0.861784,8.60044,
67108864,504,0.301159,0.0717174,6.36165,0.86549,8.77666,
67108864,512,0.0549905,0.0696527,6.2607,0.865915,8.69848,
