N,node size,build horizontal(s),build vertical(s),seq search(s),binary search(s), simd search(s)
134217728,8,0.215515,0.178779,1.94129,2.58363,2.52546,
134217728,16,0.162611,0.159889,2.04451,1.9617,2.5037,
134217728,24,0.621914,0.171813,2.2747,1.84587,2.77101,
134217728,32,0.193526,0.148596,2.55606,1.88838,3.24319,
134217728,40,0.858585,0.149396,2.89018,1.83853,3.54353,
134217728,48,0.604402,0.164955,2.95449,1.76102,3.78174,
134217728,56,0.618155,0.146107,3.169,1.78415,4.14523,
134217728,64,0.138661,0.144614,3.37379,1.79696,4.50632,
134217728,72,0.65584,0.148192,3.76808,1.80054,4.93139,
134217728,80,0.687154,0.148975,4.08777,1.81042,5.35688,
134217728,88,0.736866,0.149631,4.30831,1.79296,5.62353,
134217728,96,0.793678,0.146535,4.58958,1.77175,5.80406,
134217728,104,0.879379,0.14533,4.77768,1.75529,5.98064,
134217728,112,0.594229,0.14243,5.01719,1.7151,6.23843,
134217728,120,0.594887,0.142578,4.91604,1.74956,6.55525,
134217728,128,0.102054,0.155046,5.11235,1.7921,6.77985,
134217728,136,0.597813,0.142611,5.22408,1.79615,7.06673,
134217728,144,0.599093,0.141457,5.32774,1.77246,7.38675,
134217728,152,0.598514,0.161439,5.36307,1.76044,7.80583,
134217728,160,0.596964,0.144804,5.51355,1.75925,8.09854,
134217728,168,0.602353,0.143865,5.70959,1.79095,8.42613,
134217728,176,0.601334,0.145343,5.89975,1.77586,8.73,
134217728,184,0.605343,0.144201,6.13347,1.77968,9.0776,
134217728,192,0.607358,0.144867,6.27853,1.7973,9.36812,
134217728,200,0.60779,0.142453,6.4475,1.82134,9.63195,
134217728,208,0.611593,0.14819,6.6888,1.82558,9.96239,
134217728,216,0.612293,0.143565,6.91917,1.83723,10.2705,
134217728,224,0.61447,0.14526,7.11978,1.83023,10.5914,
134217728,232,0.619445,0.147437,7.34894,1.85453,10.89,
134217728,240,0.620509,0.164444,7.53973,1.86169,11.145,
134217728,248,0.62553,0.147157,7.68038,1.87674,11.4563,
134217728,256,0.141268,0.153562,7.90987,1.89423,11.7854,
134217728,264,0.628243,0.146926,8.07254,1.86543,12.011,
134217728,272,0.637623,0.146557,8.44043,1.87002,12.3513,
134217728,280,0.645428,0.151378,8.7266,1.86948,12.6349,
134217728,288,0.642622,0.14566,8.88958,1.90648,12.9733,
134217728,296,0.64975,0.148455,9.07795,1.86439,13.2703,
134217728,304,0.660393,0.150356,9.3894,1.87148,13.7919,
134217728,312,0.663552,0.14412,9.7802,1.86927,14.0441,
134217728,320,0.664113,0.167334,9.6412,1.88987,14.3551,
134217728,328,0.687741,0.14696,9.92117,1.87749,14.7386,
134217728,336,0.678769,0.1451,10.2635,1.85416,14.73,
134217728,344,0.68726,0.150436,10.5342,1.85521,15.1736,
134217728,352,0.691046,0.14615,10.8573,1.88458,15.4603,
134217728,360,0.69626,0.146688,11.1552,1.98185,15.5288,
134217728,368,0.717473,0.146076,11.4821,1.87842,16.2986,
134217728,376,0.7123,0.14944,11.6635,1.8652,16.4502,
134217728,384,0.720804,0.145254,11.9436,1.85514,16.6671,
134217728,392,0.726065,0.144989,12.331,1.83657,16.7785,
134217728,400,0.738213,0.147442,12.6965,1.83625,16.5139,
134217728,408,0.754495,0.148043,12.4975,1.82705,16.9218,
134217728,416,0.764988,0.14665,13.0152,1.82548,17.0293,
134217728,424,0.766162,0.149935,13.1525,1.83465,17.0648,
134217728,432,0.778276,0.147695,13.1767,1.84203,17.3544,
134217728,440,0.784828,0.148206,12.8305,1.83291,17.4798,
134217728,448,0.79573,0.156132,13.3445,1.84886,17.2803,
134217728,456,0.816429,0.144373,14.0705,1.83829,17.9191,
134217728,464,0.815479,0.148032,14.2302,1.84034,17.8548,
134217728,472,0.826693,0.148441,13.8261,1.83673,18.0593,
134217728,480,0.842418,0.14864,14.0218,1.82482,18.2998,
134217728,488,0.849322,0.147507,14.7714,1.84685,18.2086,
134217728,496,0.867191,0.146419,15.3787,1.8056,18.7356,
134217728,504,0.883932,0.14692,15.2783,1.73513,19.1339,
134217728,512,0.100048,0.13739,15.7135,1.76977,19.2219,
