N,node size,build horizontal(s),build vertical(s),seq search(s),binary search(s), simd search(s)
67108864,8,0.0923808,0.130153,5.57107,6.1995,7.8111,
67108864,16,0.082295,0.129671,4.98401,5.92178,6.3335,
67108864,24,0.329447,0.112539,5.26158,5.88756,6.08447,
67108864,32,0.0806306,0.107161,5.41498,6.32676,6.13417,
67108864,40,0.324324,0.11269,5.43949,6.36867,6.10991,
67108864,48,0.326707,0.108961,5.61067,6.43061,6.30775,
67108864,56,0.323902,0.108013,5.65368,6.655,6.47401,
67108864,64,0.0694113,0.105124,5.94863,6.90063,7.76079,
67108864,72,0.324482,0.105428,6.08826,6.78968,8.00124,
67108864,80,0.322261,0.110856,6.2956,6.65675,8.5036,
67108864,88,0.320511,0.10811,6.65326,6.82202,8.69311,
67108864,96,0.318372,0.10724,6.54323,6.40627,8.64605,
67108864,104,0.320318,0.111365,6.84109,6.79282,8.87984,
67108864,112,0.319844,0.106464,7.00693,6.91716,9.14389,
67108864,120,0.320643,0.105635,6.85581,6.62047,9.0906,
67108864,128,0.0664946,0.107198,6.89795,6.61226,9.37856,
67108864,136,0.320079,0.105468,7.23944,6.83966,9.56146,
67108864,144,0.320418,0.106096,7.3222,6.80607,9.74981,
67108864,152,0.319681,0.105711,7.40812,6.74444,9.81839,
67108864,160,0.317017,0.106658,7.56207,6.80593,10.1012,
67108864,168,0.319232,0.105799,7.70956,6.83656,10.2632,
67108864,176,0.319098,0.109593,7.98056,6.95981,10.3749,
67108864,184,0.318512,0.104777,8.04186,6.95405,10.5735,
67108864,192,0.319779,0.104266,8.15511,6.95566,10.691,
67108864,200,0.318968,0.104653,8.34359,7.07679,10.7993,
67108864,208,0.324289,0.105011,8.43942,7.17768,10.7729,
67108864,216,0.319069,0.104209,8.57228,7.20178,10.9165,
67108864,224,0.318413,0.105572,8.68001,7.17152,11.0265,
67108864,232,0.319174,0.103409,8.79032,7.18479,11.2172,
67108864,240,0.318335,0.104057,8.96025,7.30084,11.3172,
67108864,248,0.320736,0.106237,8.94676,7.22466,11.5325,
67108864,256,0.06769,0.102607,8.34192,7.21939,11.4699,
67108864,264,0.318744,0.103645,9.14315,7.39849,11.9306,
67108864,272,0.319885,0.103097,9.17653,7.36354,12.0324,
67108864,280,0.321283,0.102117,9.3157,7.38655,12.3413,
67108864,288,0.32096,0.102129,9.31064,7.45527,12.4133,
67108864,296,0.31978,0.102849,9.39705,7.43733,12.5959,
67108864,304,0.321571,0.104465,9.42837,7.46817,12.7447,
67108864,312,0.322012,0.108715,9.55173,7.4656,13.0277,
67108864,320,0.320511,0.102714,9.46289,7.48643,13.2052,
67108864,328,0.320366,0.102148,9.63372,7.49295,13.352,
67108864,336,0.319773,0.102472,9.64534,7.52639,13.4266,
67108864,344,0.319716,0.102585,9.71384,7.52575,13.5969,
67108864,352,0.318704,0.101347,9.61703,7.50982,13.6482,
67108864,360,0.320323,0.100299,9.77431,7.52878,13.8719,
67108864,368,0.320041,0.0999313,9.78226,7.55245,14.0051,
67108864,376,0.326669,0.102978,9.85361,7.56948,14.2889,
67108864,384,0.321804,0.0993573,9.59275,7.50934,14.2297,
67108864,392,0.319764,0.0994497,10.0378,7.60411,14.5105,
67108864,400,0.321813,0.100696,10.1758,7.63332,14.6327,
67108864,408,0.318652,0.10446,10.2778,7.59869,14.8563,
67108864,416,0.31843,0.109512,10.1724,7.6884,14.9357,
67108864,424,0.320694,0.104465,10.2288,7.67257,15.166,
67108864,432,0.320397,0.105974,10.243,7.75344,15.2739,
67108864,440,0.318265,0.104095,10.2951,7.72645,15.5231,
67108864,448,0.318832,0.104045,10.1389,7.80919,15.6112,
67108864,456,0.320464,0.103643,10.3414,7.82848,15.7901,
67108864,464,0.319156,0.10515,10.3537,7.83337,15.911,
67108864,472,0.319913,0.103647,10.3857,7.84972,16.1653,
67108864,480,0.317591,0.105513,10.3955,7.8067,16.2596,
67108864,488,0.31958,0.104105,10.4574,7.92416,16.457,
67108864,496,0.318702,0.104415,10.5053,7.90972,16.8961,
67108864,504,0.320751,0.103342,10.5295,7.9567,16.7955,
67108864,512,0.0682615,0.103618,9.72563,7.79369,16.5294,
