N,node size,build horizontal(s),build vertical(s),seq search(s),binary search(s), simd search(s)
67108864,8,0.270464,0.481017,20.759,23.4367,30.9978,
67108864,16,0.23998,0.447975,18.7111,22.7071,24.4756,
67108864,24,0.482568,0.418675,19.6036,22.1924,22.9374,
67108864,32,0.228296,0.408671,20.1685,23.8682,23.0946,
67108864,40,0.469717,0.422214,20.5908,24.105,23.4033,
67108864,48,0.4657,0.398542,20.9794,23.8926,23.6841,
67108864,56,0.470469,0.403765,21.9109,25.5269,25.0234,
67108864,64,0.20616,0.389098,22.3002,25.457,28.7046,
67108864,72,0.467395,0.390335,22.3937,25.0847,29.0739,
67108864,80,0.459554,0.384874,22.8388,24.527,30.3138,
67108864,88,0.463131,0.37479,23.4406,24.5399,31.0664,
67108864,96,0.454977,0.398323,23.9252,23.7888,31.0778,
67108864,104,0.459887,0.396138,24.3419,24.5959,31.2706,
67108864,112,0.459145,0.39561,24.8676,24.7132,31.9823,
67108864,120,0.459215,0.394788,25.4196,25.054,33.6293,
67108864,128,0.200113,0.390989,25.2609,24.7283,33.7594,
67108864,136,0.460164,0.393295,26.8955,25.0462,34.846,
67108864,144,0.456533,0.393647,26.5778,24.9993,35.0165,
67108864,152,0.458562,0.39617,27.6548,25.8659,36.133,
67108864,160,0.455567,0.389199,27.804,25.3274,36.8291,
67108864,168,0.458557,0.393557,28.3299,25.2596,37.6616,
67108864,176,0.452815,0.389974,28.6732,25.5223,38.0126,
67108864,184,0.452834,0.389848,29.6358,26.2711,38.5335,
67108864,192,0.454436,0.387775,29.8294,25.6024,39.0121,
67108864,200,0.451812,0.386637,30.1144,25.7275,38.9851,
67108864,208,0.454229,0.385719,30.821,26.406,39.364,
67108864,216,0.456636,0.386307,31.0825,26.3164,39.9184,
67108864,224,0.455742,0.388972,31.4794,27.1126,40.2854,
67108864,232,0.457724,0.384254,31.9555,26.7326,40.9229,
67108864,240,0.453566,0.383565,32.3375,27.5535,41.1828,
67108864,248,0.454543,0.383703,32.5431,27.0245,41.9367,
67108864,256,0.199461,0.379348,30.512,26.8534,42.1011,
67108864,264,0.454949,0.382086,33.4039,27.2944,43.715,
67108864,272,0.454092,0.381492,33.2804,27.8859,43.7288,
67108864,280,0.45539,0.381128,33.9965,27.8892,44.6654,
67108864,288,0.453622,0.38087,33.856,27.8787,45.1048,
67108864,296,0.456901,0.380019,34.0594,27.8983,45.7767,
67108864,304,0.457527,0.385116,34.0817,27.3036,46.4486,
67108864,312,0.456207,0.382551,34.3923,27.8043,47.0783,
67108864,320,0.455335,0.379354,34.3529,28.0576,47.953,
67108864,328,0.454763,0.378944,34.8033,27.8804,48.2611,
67108864,336,0.456161,0.380196,34.3917,27.895,48.7031,
67108864,344,0.457303,0.379095,34.8206,27.5424,49.2352,
67108864,352,0.452903,0.375175,34.6541,27.5471,49.5332,
67108864,360,0.455584,0.373322,35.236,27.7249,50.4634,
67108864,368,0.455905,0.372092,34.797,28.017,50.496,
67108864,376,0.45943,0.371005,35.4601,27.7999,51.438,
67108864,384,0.464405,0.368876,34.4943,27.6075,51.5088,
67108864,392,0.456138,0.367376,36.0477,27.867,52.3396,
67108864,400,0.45996,0.374233,36.1936,28.4228,52.5567,
67108864,408,0.453439,0.386234,36.9464,28.3142,53.2241,
67108864,416,0.451927,0.387339,36.6123,28.644,53.8411,
67108864,424,0.46101,0.385838,36.7394,28.2246,54.4028,
67108864,432,0.457905,0.391176,36.6966,28.2873,54.8541,
67108864,440,0.453427,0.385567,36.4511,28.3372,55.6451,
67108864,448,0.452977,0.385721,36.0846,29.0607,55.8409,
67108864,456,0.453746,0.385132,36.7064,28.9986,56.7673,
67108864,464,0.455467,0.390148,36.5893,29.2153,57.1949,
67108864,472,0.456484,0.38559,36.5724,29.0292,57.7755,
67108864,480,0.455515,0.385402,36.6479,28.9959,58.1108,
67108864,488,0.454106,0.38463,36.7329,29.3864,58.5751,
67108864,496,0.451788,0.388301,36.9036,28.9848,59.1293,
67108864,504,0.454544,0.383801,37.2745,29.2844,59.5857,
67108864,512,0.205913,0.382124,34.2232,28.6199,59.099,
