N,node size,build horizontal(s),build vertical(s),seq search(s),binary search(s), simd search(s)
33554432,8,0.0494767,0.0634105,2.54115,2.89975,3.36925,
33554432,16,0.0482476,0.0582435,2.40736,2.87861,2.98719,
33554432,24,0.166895,0.0545973,2.34816,2.80538,2.8124,
33554432,32,0.0432216,0.0549901,2.3561,3.0174,2.77562,
33554432,40,0.164885,0.0563093,2.38466,3.02529,2.82211,
33554432,48,0.178314,0.0545847,2.39481,2.93883,2.79911,
33554432,56,0.172141,0.0531787,2.39668,2.93152,2.97566,
33554432,64,0.0409218,0.0528817,2.48989,2.93154,3.30778,
33554432,72,0.163509,0.0531699,2.53695,2.85139,3.35841,
33554432,80,0.164593,0.0523846,2.71191,2.98028,3.65223,
33554432,88,0.16181,0.0517591,2.71711,2.94906,3.72654,
33554432,96,0.161672,0.0541142,2.88963,2.99056,3.9149,
33554432,104,0.16237,0.0527603,2.92867,3.02317,3.98494,
33554432,112,0.161606,0.0512997,2.96412,3.0215,4.07377,
33554432,120,0.161841,0.0518208,3.02828,3.08179,4.23601,
33554432,128,0.0390245,0.0530862,3.10435,3.13874,4.34555,
33554432,136,0.16468,0.0533191,3.25987,3.18769,4.55633,
33554432,144,0.164561,0.0529441,3.32007,3.18529,4.65056,
33554432,152,0.168057,0.0568385,3.41302,3.20601,4.75521,
33554432,160,0.168333,0.0526511,3.47192,3.20885,4.83374,
33554432,168,0.165466,0.0526613,3.62229,3.24239,4.93626,
33554432,176,0.162951,0.0559212,3.64876,3.26452,5.00353,
33554432,184,0.171915,0.0525062,3.72223,3.27264,5.08796,
33554432,192,0.165379,0.0507701,3.77397,3.2583,5.0786,
33554432,200,0.164396,0.0518261,3.84405,3.28945,5.15487,
33554432,208,0.172329,0.0522598,3.92953,3.35604,5.24007,
33554432,216,0.166261,0.0510031,3.99483,3.3704,5.34266,
33554432,224,0.16419,0.0517816,4.12338,3.41151,5.37326,
33554432,232,0.164571,0.0522022,4.10298,3.44069,5.47442,
33554432,240,0.164741,0.0510202,4.15005,3.45377,5.5286,
33554432,248,0.164845,0.0514394,4.22605,3.46616,5.64272,
33554432,256,0.0383903,0.0509628,3.96092,3.50809,5.59671,
33554432,264,0.16415,0.0525979,4.26565,3.46134,5.8354,
33554432,272,0.166013,0.0525961,4.31534,3.49787,5.87307,
33554432,280,0.168538,0.0603588,4.32043,3.50201,5.99621,
33554432,288,0.162901,0.0524158,4.34549,3.50022,6.01684,
33554432,296,0.167943,0.0513089,4.37937,3.53379,6.14455,
33554432,304,0.164917,0.0517177,4.44662,3.51674,6.18678,
33554432,312,0.164987,0.0528731,4.47597,3.50724,6.30549,
33554432,320,0.167369,0.0610538,4.47529,3.53666,6.3768,
33554432,328,0.162808,0.0511967,4.55222,3.5029,6.48631,
33554432,336,0.172076,0.0504599,4.53679,3.52667,6.51737,
33554432,344,0.164303,0.0530539,4.66933,3.53114,6.62623,
33554432,352,0.164619,0.0511649,4.52642,3.55941,6.67473,
33554432,360,0.165766,0.0617374,4.55698,3.52686,6.80685,
33554432,368,0.164062,0.0508133,4.57695,3.604,6.85523,
33554432,376,0.163134,0.0511213,4.57507,3.57609,7.00286,
33554432,384,0.163732,0.0505866,4.42884,3.61412,6.98132,
33554432,392,0.163906,0.0524912,4.58322,3.57778,7.13904,
33554432,400,0.163572,0.0562847,4.59275,3.59216,7.21119,
33554432,408,0.163094,0.0511634,4.64531,3.5976,7.32632,
33554432,416,0.168687,0.051256,4.62765,3.63298,7.38057,
33554432,424,0.173735,0.0512618,4.6496,3.7067,7.5043,
33554432,432,0.169653,0.0518866,4.67098,3.6754,7.57734,
33554432,440,0.163652,0.0509393,4.71614,3.70298,7.68191,
33554432,448,0.164785,0.0515015,4.77502,3.71697,7.77231,
33554432,456,0.167525,0.0550074,4.75053,3.73282,7.86687,
33554432,464,0.164867,0.0524549,4.77302,3.77117,7.97652,
33554432,472,0.165637,0.0629564,4.81235,3.74356,8.0658,
33554432,480,0.165239,0.0518557,4.80309,3.79805,8.10599,
33554432,488,0.164272,0.0507587,4.86957,3.80851,8.21613,
33554432,496,0.165106,0.051948,4.88969,3.783,8.2968,
33554432,504,0.165038,0.0510625,4.98411,3.7965,8.57818,
33554432,512,0.039767,0.055743,4.60868,3.77986,8.21905,
