N,node size,build horizontal(s),build vertical(s),seq search(s),binary search(s), simd search(s)
33554432,8,0.0424791,0.0512432,1.48652,1.6612,1.92204,
33554432,16,0.0420021,0.0450739,1.41246,1.60602,1.6951,
33554432,24,0.160118,0.0414551,1.44804,1.66112,1.70464,
33554432,32,0.0352661,0.0408324,1.45727,1.68632,1.78886,
33554432,40,0.156617,0.0413885,1.48735,1.67478,1.86971,
33554432,48,0.15535,0.0409496,1.49272,1.60855,2.0331,
33554432,56,0.155236,0.0396337,1.55241,1.67536,2.19384,
33554432,64,0.0334889,0.0384426,1.61906,1.67661,2.35069,
33554432,72,0.15585,0.0373018,1.64164,1.66013,2.37101,
33554432,80,0.153654,0.0402442,1.68086,1.62402,2.47157,
33554432,88,0.154025,0.039196,1.77957,1.66506,2.68662,
33554432,96,0.155537,0.0400946,1.84354,1.64939,2.81356,
33554432,104,0.153042,0.0393388,1.90701,1.75257,2.91677,
33554432,112,0.155073,0.0396262,1.97491,1.74268,3.01832,
33554432,120,0.155967,0.0481919,2.05959,1.79884,3.178,
33554432,128,0.0302788,0.0383176,2.0824,1.81118,3.25644,
33554432,136,0.156893,0.0385487,2.18395,1.82095,3.3754,
33554432,144,0.15772,0.0386087,2.25519,1.84674,3.47057,
33554432,152,0.156227,0.0399697,2.3176,1.85181,3.5564,
33554432,160,0.154167,0.0391712,2.38958,1.87281,3.58625,
33554432,168,0.157335,0.0388178,2.47329,1.85866,3.69334,
33554432,176,0.155689,0.0385917,2.54987,1.91269,3.69407,
33554432,184,0.15607,0.038703,2.5903,1.90941,3.84612,
33554432,192,0.155662,0.0390698,2.62078,1.91297,3.80958,
33554432,200,0.156887,0.0383513,2.69441,1.93084,3.89006,
33554432,208,0.156018,0.0378953,2.75047,1.9706,3.93196,
33554432,216,0.158625,0.0379034,2.80221,1.9788,4.06048,
33554432,224,0.15752,0.0385172,2.89084,2.03477,4.1201,
33554432,232,0.155857,0.0387754,2.90055,1.99606,4.18172,
33554432,240,0.157843,0.0382461,2.97248,2.01593,4.2089,
33554432,248,0.157188,0.038461,3.03985,2.05462,4.31814,
33554432,256,0.032292,0.0381104,2.89381,2.0563,4.22495,
33554432,264,0.161005,0.0370744,3.07635,2.04569,4.46383,
33554432,272,0.157897,0.0367994,3.10254,2.07352,4.50994,
33554432,280,0.167235,0.0557658,3.10828,2.08124,4.56569,
33554432,288,0.170115,0.0376662,3.10444,2.0686,4.6103,
33554432,296,0.157003,0.0364157,3.19788,2.07603,4.70731,
33554432,304,0.157476,0.0361308,3.25826,2.11871,4.75507,
33554432,312,0.157407,0.0360526,3.29433,2.12172,4.84338,
33554432,320,0.155497,0.0368102,3.32235,2.14285,4.89305,
33554432,328,0.155274,0.039842,3.37147,2.13821,4.99105,
33554432,336,0.157238,0.0386277,3.35545,2.12234,5.05167,
33554432,344,0.157199,0.039238,3.36503,2.12348,5.1082,
33554432,352,0.162023,0.0471178,3.35636,2.12307,5.17281,
33554432,360,0.157317,0.03892,3.41036,2.12991,5.26172,
33554432,368,0.155522,0.0388834,3.42492,2.16938,5.34804,
33554432,376,0.157383,0.0380981,3.45922,2.16977,5.42859,
33554432,384,0.155697,0.0391576,3.41329,2.18349,5.42375,
33554432,392,0.15546,0.0387854,3.47726,2.18927,5.53722,
33554432,400,0.159312,0.0387041,3.49524,2.17015,5.60116,
33554432,408,0.15986,0.0383794,3.51613,2.19711,5.71516,
33554432,416,0.156824,0.0391656,3.58623,2.23388,5.73386,
33554432,424,0.155203,0.0394532,3.59494,2.15542,5.96538,
33554432,432,0.158075,0.0386083,3.64044,2.21135,5.93794,
33554432,440,0.157416,0.0547862,3.62822,2.20676,6.04312,
33554432,448,0.15699,0.0389885,3.64562,2.20397,6.06813,
33554432,456,0.155673,0.038596,3.71707,2.23453,6.19391,
33554432,464,0.156297,0.0389039,3.73722,2.20537,6.21854,
33554432,472,0.15592,0.03904,3.74589,2.26014,6.30699,
33554432,480,0.156238,0.038705,3.78581,2.31216,6.33583,
33554432,488,0.15646,0.0389007,3.84727,2.26764,6.44827,
33554432,496,0.156729,0.0386762,3.86008,2.26123,6.53467,
33554432,504,0.157603,0.0388151,3.8988,2.26341,6.59537,
33554432,512,0.0324933,0.0381926,3.71787,2.2871,6.27756,
